time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2019-03-27,4054.32,3932.79,3942.22,37132.4,149005782.26,4045.98,direct,
2019-03-28,4046.44,4014.69,4045.98,25343.13,102296341.19,4036.45,direct,
2019-03-29,4122.89,4031.22,4036.45,41843.31,170915132.77,4111.38,direct,
2019-03-30,4146.88,4066.87,4111.38,24906.26,102400533.82,4118.13,direct,
2019-03-31,4129.43,4098.79,4118.13,13792.73,56727425.19,4112.69,direct,
2019-04-01,4164.33,4082.2,4112.69,36921.55,152826759.02,4151.32,direct,
2019-04-02,5104.42,4147.7,4151.32,172473.31,814748125.73,4906.93,direct,
2019-04-03,5335.7,4831.59,4906.93,159843.43,809158339.99,4976.59,direct,
2019-04-04,5071.98,4799.77,4976.59,74544.88,370109007.61,4913.36,direct,
2019-04-05,5074.13,4897.61,4913.36,56130.82,280722247.3,5047.23,direct,
2019-04-06,5240.19,4938.0,5047.23,54180.91,275839573.8,5057.25,direct,
2019-04-07,5266.04,5044.28,5057.25,47200.43,243329883.48,5201.16,direct,
2019-04-08,5347.88,5141.23,5201.16,69803.56,366577921.18,5294.09,direct,
2019-04-09,5294.09,5159.13,5294.09,48552.25,253577595.39,5201.3,direct,
2019-04-10,5460.94,5178.61,5201.3,65813.81,349643837.46,5318.6,direct,
2019-04-11,5343.66,4987.65,5318.6,69622.86,356811374.12,5048.56,direct,
2019-04-12,5118.61,4927.62,5048.56,43762.94,220667543.59,5081.5,direct,
2019-04-13,5128.96,5056.19,5081.5,23342.24,118956124.9,5080.66,direct,
2019-04-14,5186.82,5031.2,5080.66,21193.03,108148233.81,5165.59,direct,
2019-04-15,5195.31,4969.31,5165.59,40402.46,205867031.18,5037.27,direct,
2019-04-16,5232.03,5029.16,5037.27,40370.0,207311534.31,5212.81,direct,
2019-04-17,5270.76,5190.81,5212.81,37225.68,194699629.15,5236.26,direct,
2019-04-18,5317.78,5232.99,5236.26,35511.12,187312150.44,5289.75,direct,
2019-04-19,5353.01,5212.18,5289.75,30109.97,158699049.55,5295.53,direct,
2019-04-20,5366.6,5274.45,5295.53,23214.49,123577001.56,5326.18,direct,
2019-04-21,5348.59,5232.77,5326.18,25466.81,134681237.4,5305.74,direct,
2019-04-22,5444.76,5265.73,5305.74,45346.65,242498187.66,5394.67,direct,
2019-04-23,5626.83,5371.31,5394.67,66448.85,368556751.66,5539.1,direct,
2019-04-24,5633.0,5390.98,5539.1,61651.16,339093001.24,5454.58,direct,
2019-04-25,5521.61,5031.69,5454.58,70755.72,374798664.87,5162.67,direct,
2019-04-26,5361.94,5104.18,5162.67,70191.21,366773360.18,5234.09,direct,
2019-04-27,5282.97,5192.45,5234.09,21692.98,113430273.96,5229.48,direct,
2019-04-28,5313.7,5218.42,5233.47,25294.87,133564683.52,5272.45,direct,
2019-04-29,5299.51,5162.81,5272.45,31947.44,167206787.27,5237.96,direct,
2019-04-30,5372.23,5224.64,5237.96,32567.46,172540196.26,5350.64,direct,
2019-05-01,5417.17,5346.7,5350.64,27410.57,147345369.73,5389.54,direct,
2019-05-02,5531.15,5387.29,5389.54,35089.37,192256639.91,5500.72,direct,
2019-05-03,5891.9,5484.78,5500.72,75434.86,432335283.61,5753.38,direct,
2019-05-04,5901.36,5596.15,5753.38,45628.34,263390273.68,5840.08,direct,
2019-05-05,5849.5,5709.74,5840.08,25481.48,147662500.76,5794.14,direct,
2019-05-06,5823.67,5644.15,5794.14,34979.71,200316185.51,5748.17,direct,
2019-05-07,6031.54,5748.17,5748.17,59556.89,353043890.95,5819.57,direct,
2019-05-08,6032.25,5753.08,5819.57,40967.62,241917027.36,5998.71,direct,
2019-05-09,6194.91,5988.65,5998.71,51005.27,310336580.16,6171.96,direct,
